repo_id,repo_name,url,layer_caps,capability_1,iso_mapping_cap_1 - [research_1],iso_mapping_cap_1 - [research_2],iso_mapping_cap_1 - [referee],capability_2,iso_mapping_cap_2 - [research_1],iso_mapping_cap_2 - [research_2],iso_mapping_cap_2 - [referee],capability_3,iso_mapping_cap_3 - [research_1],iso_mapping_cap_3 - [research_2],iso_mapping_cap_3 - [referee]
R126,jevois,https://github.com/jevois/jevois,device ↔ edge,On-Device Vision AI Inference,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Modular Edge AI Framework,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Real-Time Video Processing & Output,Supporting Capabilities,Data Capabilities or Transducer Capabilities,Supporting Capabilities
R129,DeepStack,https://github.com/johnolafenwa/DeepStack,device ↔ fog,Local AI Serving (Offline Edge Inference),Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Cross-Platform Flexibility,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Secure & Scalable API Management,Interface Capability,Interface Capability,Interface Capability
R130,AI-on-the-edge-device,https://github.com/jomjol/AI-on-the-edge-device,device ↔ fog,Edge Processing,Supporting Capabilities,Data capabilities,Data capabilities,Connectivity & Integration,Interface Capability,Interface Capability,Interface Capability,Device Management & Updatability,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R131,AI-on-the-edge-device-docs,https://github.com/jomjol/AI-on-the-edge-device-docs,device ↔ fog,Edge Processing,Supporting Capabilities,Data capabilities,Data capabilities,Connectivity & Integration,Interface Capability,Interface Capability,Interface Capability,Device Management & Updatability,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R146,TPI-LLM,https://github.com/Lizonghang/TPI-LLM,edge ↔ Cloud,Distributed LLM Inference with Tensor Parallelism,Supporting Capabilities,Data capabilities,Supporting Capabilities,Scalable Multi-Device AI Execution,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,High-Performance NLP/LLM Serving,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R147,hal-9100,https://github.com/llm-edge/hal-9100,edge ↔ Cloud,Application Hosting & Execution,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Interoperability Gateway,Interface Capability,Interface Capability,Interface Capability,Resource Management,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R162,xsai,https://github.com/moeru-ai/xsai,device ↔ fog,On-Device LLM Inference (Offline-First),Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Decentralized & Privacy-Preserving AI,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Unified Runtime for Multiple Models,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R170,edgerunner,https://github.com/neuralize-ai/edgerunner,device ↔ fog,Universal On-Device AI Runtime Integration,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Device-Agnostic API Abstraction,Interface Capability,Interface Capability,Interface Capability,Platform-Specific NPU SDK Management,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R173,tflite-cv-example,https://github.com/NobuoTsukamoto/tflite-cv-example,device ↔ fog,On-Device Vision AI Inference,Supporting Capabilities,Data Capabilities or Transducer Capabilities,Supporting Capabilities,Real-Time Image/Video Processing,Supporting Capabilities,Data Capabilities or Transducer Capabilities,Supporting Capabilities,Reference Toolkit for Edge AI Developers,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R182,ai-edge,https://github.com/opendatahub-io/ai-edge,edge ↔ fog,Edge Processing,Supporting Capabilities,Data Capabilities,Data Capabilities,Orchestration & Management,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Monitoring & Observability,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R184,model_server,https://github.com/openvinotoolkit/model_server,Continuum,Scalable AI Model Serving (gRPC/REST),Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Hardware-Accelerated Inference,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Model Lifecycle Management,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R185,openvino_testdrive,https://github.com/openvinotoolkit/openvino_testdrive,device ↔ fog,Reference Pipelines for Edge AI Inference,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Hardware-Accelerated AI Execution,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Developer Onboarding & Model Evaluation Toolkit,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R201,viseron,https://github.com/roflcoopter/viseron,device ↔ fog,On-Device Video Analytics & AI Inference,Supporting Capabilities,Data Capabilities or Transducer Capabilities,Supporting Capabilities,Hardware-Accelerated Vision Processing,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Event-Driven Smart Home/IoT Integration,Interface Capability,Interface Capability,Interface Capability
R207,piccolo,https://github.com/sensiml/piccolo,device ↔ edge,Ultra-Lightweight TinyML Inference Runtime,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Sensor Data Pattern Recognition,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Low-Power Embedded AI Optimization,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R212,MaixPy,https://github.com/sipeed/MaixPy,device ↔ edge,On-Device AI Inference (TinyML),Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Python-Based Embedded Runtime,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Peripheral & Sensor Integration for IoT,Interface Capability,Interface Capability,Interface Capability
R223,edgeai-gst-apps,https://github.com/TexasInstruments/edgeai-gst-apps,edge ↔ fog,Hardware-Accelerated GStreamer Pipelines,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,End-to-End Streaming Edge Inference,Supporting Capabilities,Transducer Capabilities,Transducer Capabilities,Cross-Language & Configurable Runtime,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R238,edge-infer,https://github.com/unit-mesh/edge-infer,device ↔ fog,Lightweight Edge Model Inference,Supporting Capabilities,Data Capabilities,Data Capabilities,Cross-Platform Runtime Support,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Configurable Inference Pipeline,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R241,WasmEdge,https://github.com/WasmEdge/WasmEdge,Continuum,Lightweight & Secure Application Runtime,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,AI/ML Inference in WASM Modules,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Cloud-Native & Edge Integration,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R242,self,https://github.com/watson-intu/self,device ↔ fog,Multimodal Perception & Cognitive Integration,Supporting Capabilities,Data Capabilities or Transducer Capabilities,Supporting Capabilities,Distributed Agent-Oriented Orchestration,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Extensible Hybrid Edge–Cloud AI Integration,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R254,kantv,https://github.com/zhouwg/kantv,edge ↔ fog,Cross-Platform Media Processing,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Hardware-Accelerated Video Decoding,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Multi-Protocol Streaming & Playback,Interface Capability,Interface Capability,Interface Capability
R257,ztachip,https://github.com/ztachip/ztachip,device ↔ edge,Custom Edge AI Hardware Acceleration,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,SDK & Runtime for Edge AI Applications,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Real-Time Vision & ML Inference,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R137,keylime,https://github.com/keylime/keylime,Continuum,Remote Attestation & Integrity Verification,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Secure Provisioning & Key Management,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Cross-Layer Security & Compliance,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
R143,eve,https://github.com/lf-edge/eve,edge ↔ Cloud,Secure Edge Virtualization & Isolation,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Remote Orchestration & Lifecycle Management,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities,Zero-Trust Security & Device Integrity,Supporting Capabilities,Supporting Capabilities,Supporting Capabilities
