criteria,repo_id,repo_name,full_repo_name,url,sa_doc,sa_doc_link,domain,architectural_layer,capability_1,iso_mapping_cap_1,layer_cap_1,capability_2,iso_mapping_cap_2,layer_cap_2,capability_3,iso_mapping_cap_3,layer_cap_3,layer_caps,search_term,stars,desc.,lang,last_commit,commits_2024,n_commits,collaborators,template,fork,forks,size,score,archived,disabled
I2,R120,AiCSD,intel/AiCSD,https://github.com/intel/AiCSD,YES,https://intel.github.io/AiCSD/index.html#ai-connect-for-scientific-data-aicsd,"Computer Vision, IIoT, Orchestration",Infrastructure,Edge Data Pipeline & Processing,Data Capabilities,Edge/Fog,Monitoring & Log Analytics,Supporting Capabilities,Cross-cutting,Secure Coordination & Communication,Supporting Capabilities,Cross-cutting,edge ↔ fog,edge-ai,17.0,"AI Connect for Scientific Data (AiCSD) is a new solution for using AI to connect data from scientific instruments to applicable AI pipelines and run workloads at the edge. This repository contains EdgeX Foundry based microservices to automatically detect, manage, and process OEM images with OpenVINO.",Go,2025-01-03T19:40:54Z,38.0,78,9.0,False,False,13.0,30826.0,1.0,False,False
I1,R121,compage,intelops/compage,https://github.com/intelops/compage,Partially,https://github.com/intelops/compage/tree/main/images,Others,Infrastructure,Low-Code Cloud-to-Edge App Generation,Supporting Capabilities,Fog/Cloud,Supply Chain Security & SBOM Automation,Supporting Capabilities,Cross-cutting,Multi-Platform Orchestration & Deployment,Supporting Capabilities,Fog/Cloud,fog ↔ cloud,edge-iot,83.0,"Compage - Low-Code Framework to develop Rest API, gRPC, dRPC, GraphQL, WebAssembly, microservices, FaaS, Temporal workloads, IoT and edge services, K8s controllers, K8s CRDs, K8s custom APIs, K8s Operators, K8s hooks, etc. with minimal coding and by automatically applying best practice methods like software supply chain security measures, SBOM, openAPI, cloudevents, etc. Auto generate code after defining requirements in UI as diagram.",Go,2024-08-09T19:09:32Z,43.0,976,7.0,False,False,21.0,29436.0,1.0,False,False
I1,R123,AISonobuoy,IQTLabs/AISonobuoy,https://github.com/IQTLabs/AISonobuoy,NO,,"Autonomous Systems, Smart Environment",System,Edge Data Pipeline & Processing,Data Capabilities,Edge/Fog,Automated Data Collection & Labeling,Data Capabilities,Edge/Fog,Low-Power Edge Inference & Alerting,Supporting Capabilities,Device/Edge,device ↔ fog,edge ai,37.0,Maritime Situational Awareness: An Exploration,C,2025-01-18T01:55:07Z,0.0,2.425,18.0,False,False,21.0,88583.0,1.0,False,False
I1,R124,BirdsEye,IQTLabs/BirdsEye,https://github.com/IQTLabs/BirdsEye,Partially,https://github.com/IQTLabs/BirdsEye/blob/main/docs/classes_BirdsEye.png,Computer Vision,System,Lightweight RL-based RF Localization,Supporting Capabilities,Edge,Compute-Efficient Training & Inference,Supporting Capabilities,Edge,Simulation-Driven Edge Modeling,Supporting Capabilities,Edge/Fog,edge ↔ fog,edge-ai,42.0,"The BirdsEye RL/RF project enables localization of mobile radio frequency targets, e.g., drones operators, via commericial off-the-shelf sensors.",Jupyter Notebook,2025-01-19T01:32:15Z,292.0,1.498,11.0,False,False,16.0,418686.0,1.0,False,False
I1,R126,jevois,jevois/jevois,https://github.com/jevois/jevois,NO,,"Computer Vision, autonomous systems, Real Time Data Processing",Infrastructure,On-Device Vision AI Inference,Supporting Capabilities,Device/Edge,Modular Edge AI Framework,Supporting Capabilities,Edge,Real-Time Video Processing & Output,Supporting Capabilities,Device/Edge,device ↔ edge,edgetpu,147.0,JeVois smart machine vision framework,C,2024-10-26T01:15:55Z,25.0,357,5.0,False,False,55.0,95125.0,1.0,False,False
I1,R129,DeepStack,johnolafenwa/DeepStack,https://github.com/johnolafenwa/DeepStack,NO,,"IIoT, Computer Vision, Smart Environment",Infrastructure,Local AI Serving (Offline Edge Inference),Supporting Capabilities,Edge/Device,Cross-Platform Flexibility,Supporting Capabilities,Fog/Edge,Secure & Scalable API Management,Interface Capability,Cross-cutting,device ↔ fog,edge ai,723.0,The World's Leading Cross Platform AI Engine for Edge Devices,Python,2024-06-13T15:03:35Z,0.0,282,5.0,False,False,114.0,413887.0,1.0,False,False
I1,R130,AI-on-the-edge-device,jomjol/AI-on-the-edge-device,https://github.com/jomjol/AI-on-the-edge-device,Partially,https://jomjol.github.io/AI-on-the-edge-device-docs/,Smart Environment,System,Edge Processing,Data capabilities,Edge,Connectivity & Integration,Interface Capability,cross-cutting,Device Management & Updatability,Supporting Capabilities,Fog/Device,device ↔ fog,edge ai,6266.0,"Easy to use device for connecting ""old"" measuring units (water, power, gas, ...) to the digital world",C++,2025-01-17T22:16:56Z,266.0,2.026,61.0,False,False,677.0,163077.0,1.0,False,False
I2,R131,AI-on-the-edge-device-docs,jomjol/AI-on-the-edge-device-docs,https://github.com/jomjol/AI-on-the-edge-device-docs,Partially,https://github.com/jomjol/AI-on-the-edge-device-docs/tree/main/docs,Smart Environment,System,Edge Processing,Data capabilities,Edge,Connectivity & Integration,Interface Capability,cross-cutting,Device Management & Updatability,Supporting Capabilities,Fog/Device,device ↔ fog,edge ai,84.0,Github for hosting the documentation for the project: https://github.com/jomjol/AI-on-the-edge-device,Python,2025-01-19T01:44:43Z,75.0,401,23.0,False,False,40.0,106847.0,1.0,False,False
I1,R134,SydneyQt,juzeon/SydneyQt,https://github.com/juzeon/SydneyQt,NO,,Chatbot,System,AI Service Interoperability Client,Interface Capability,Device,Cross-Platform Lightweight Interface,Interface Capability,Cross-cutting,User-to-Cloud Interaction Gateway,Interface Capability,Cross-cutting,Continuum,edge ai,873.0,A cross-platform desktop client for the jailbroken New Bing AI Copilot (Sydney ver.) built with Go and Wails (previously based on Python and Qt).,Go,2024-11-22T06:45:49Z,185.0,424,3.0,False,False,80.0,13042.0,1.0,False,False
I1,R137,keylime,keylime/keylime,https://github.com/keylime/keylime,YES,https://github.com/keylime/keylime/blob/master/docs/old/keylime-detailed-architecture-v7.pptx,"Smart Environments, Industry 4.0, Medical IoT",Infrastructure,Remote Attestation & Integrity Verification,Supporting Capabilities,Device/Edge,Secure Provisioning & Key Management,Supporting Capabilities,Fog/Cloud,Cross-Layer Security & Compliance,Supporting Capabilities,Cross-cutting,Continuum,edge-iot,440.0,A CNCF Project to Bootstrap & Maintain Trust on the Edge / Cloud and IoT,Python,2025-01-17T17:31:37Z,191.0,1.964,65.0,False,False,153.0,15813.0,1.0,False,False
I1,R138,kubeedge,kubeedge/kubeedge,https://github.com/kubeedge/kubeedge,YES,https://release-1-19.docs.kubeedge.io/docs/category/architecture,"Autonomous Systems, Smart Environment, IIoT",Infrastructure,Cloud-Edge Application Orchestration,Supporting Capabilities,Fog/Cloud/Edge,Secure Edge Communication & Digital Twin,Supporting Capabilities,Cross-cutting (Edge/Fog/Cloud),IoT Device Integration & Event Routing,Interface Capability,Device/Edge,Continuum,edge iot,6903.0,Kubernetes Native Edge Computing Framework (project under CNCF),Go,2025-01-20T07:39:25Z,634.0,5.831,100.0,False,False,1740.0,143846.0,1.0,False,False
I1,R141,edge-home-orchestration-go,lf-edge/edge-home-orchestration-go,https://github.com/lf-edge/edge-home-orchestration-go,YES,https://github.com/lf-edge/edge-home-orchestration-go/tree/master/docs,Smart Environment,Infrastructure,Dynamic Service Offloading & Load Balancing,Supporting Capabilities,Edge/Fog,Distributed Device Discovery & Scheduling,Supporting Capabilities,Device/Edge,Container-based Application Deployment,Supporting Capabilities,Edge/Device,device ↔ fog,edge iot,94.0,Home Edge Project in LF Edge - Edge Orchestration for home edge devices to enabling smart home use cases.,Go,2025-01-06T09:17:12Z,8.0,769,20.0,False,False,51.0,5354.0,1.0,False,False
I1,R142,ekuiper,lf-edge/ekuiper,https://github.com/lf-edge/ekuiper,YES,https://ekuiper.org/docs/en/latest/concepts/ekuiper.html,"Smart Environment, IIoT, Efficient AI",Infrastructure,Lightweight Stream Processing & Rule Engine,Data Capabilities,Edge,Highly Extensible Connectivity Framework,Interface Capability,Device/Edge,Management Dashboard & API-based Control,Supporting Capabilities,Fog/Edge,device ↔ fog,edge-iot,1519.0,Lightweight data stream processing engine for IoT edge,Go,2025-01-17T10:12:02Z,718.0,3.241,90.0,False,False,418.0,119529.0,1.0,False,False
I2,R143,eve,lf-edge/eve,https://github.com/lf-edge/eve,YES,https://github.com/lf-edge/eve/blob/master/docs/APP-CONNECTIVITY.md,"IIoT, Autonomous Systems",Infrastructure,Secure Edge Virtualization & Isolation,Supporting Capabilities,Edge,Remote Orchestration & Lifecycle Management,Supporting Capabilities,Fog/Cloud,Zero-Trust Security & Device Integrity,Supporting Capabilities,Cross-cutting,edge ↔ Cloud,edge iot,480.0,EVE is Edge Virtualization Engine ,Go,2025-01-17T17:09:18Z,906.0,11.140,83.0,False,False,164.0,400535.0,1.0,False,False
I1,R146,TPI-LLM,Lizonghang/TPI-LLM,https://github.com/Lizonghang/TPI-LLM,NO,,Chatbot,Infrastructure,Distributed LLM Inference with Tensor Parallelism,Supporting Capabilities,Fog/Cloud,Scalable Multi-Device AI Execution,Supporting Capabilities,Fog/Cloud,High-Performance NLP/LLM Serving,Supporting Capabilities,Edge/Fog/Cloud,edge ↔ Cloud,edge-ai,168.0,TPI-LLM: Serving 70b-scale LLMs Efficiently on Low-resource Edge Devices,Python,2024-11-15T08:18:45Z,139.0,139,2.0,False,False,12.0,146.0,1.0,False,False
I1,R147,hal-9100,llm-edge/hal-9100,https://github.com/llm-edge/hal-9100,NO,,Chatbot,Infrastructure,Application Hosting & Execution,Supporting Capabilities,Edge/Fog,Interoperability Gateway,Interface Capability,Cross-cutting (Edge/Fog/Cloud),Resource Management,Supporting Capabilities,Fog/Cloud,edge ↔ Cloud,edge ai,374.0,Edge full-stack LLM platform. Written in Rust,Rust,2024-05-25T09:42:43Z,200.0,433,6.0,False,False,31.0,1661.0,1.0,False,False
I2,R148,loxilb,loxilb-io/loxilb,https://github.com/loxilb-io/loxilb,YES,https://docs.loxilb.io/latest/arch/,"Smart Environment, Orchestration",Infrastructure,High-Performance Edge Load Balancing,Supporting Capabilities,Fog/Edge,Multi-Cluster & Multi-Tenant Networking,Interface Capability,Fog/Cloud,Security & Resilience (DDoS Protection),Supporting Capabilities,Cross-cutting,edge ↔ Cloud,edge-iot,1547.0,eBPF based cloud-native load-balancer for Kubernetes|Edge|Telco|IoT|XaaS.,Go,2025-01-19T22:06:49Z,1266.0,3.377,24.0,False,False,124.0,40347.0,1.0,False,False
I1,R149,luos_engine,Luos-io/luos_engine,https://github.com/Luos-io/luos_engine,Partially,https://www.luos.io/docs/luos-technology/basics/concepts,"IIoT, Industry 4.0",Infrastructure,Modular Microservice Architecture,Supporting Capabilities,Device/Edge,Dynamic Service Discovery & Communication,Interface Capability,Edge/Fog,Distributed IoT System Scalability,Supporting Capabilities,Edge/Fog,device ↔ fog,edge iot,519.0,"Open-source and real-time orchestrator for cyber-physical-systems, to easily design, test and deploy embedded applications and digital twins.",C,2025-01-15T13:51:34Z,0.0,1.488,13.0,False,False,57.0,23386.0,1.0,False,False
I1,R150,macchina.io,macchina-io/macchina.io,https://github.com/macchina-io/macchina.io,Partially,https://docs.macchina.io/edge/00400-MQTTProgramming.html,IIoT,Infrastructure,Edge Gateway Device & Protocol Integration,Interface Capability,Device/Edge,Web-Enabled Service Exposure,Interface Capability,Edge/Fog,Remote Application Management & Extensibility,Supporting Capabilities,Fog/Cloud ,Continuum,edge-iot,517.0,"macchina.io EDGE is a powerful C++ and JavaScript SDK for edge devices, multi-service IoT gateways and connected embedded systems.",C++,2024-06-11T16:51:00Z,37.0,1.233,7.0,False,False,156.0,128373.0,1.0,False,False
I2,R151,microflow-rs,matteocarnelos/microflow-rs,https://github.com/matteocarnelos/microflow-rs,NO,,Real Time Data Processing,Infrastructure,Lightweight Stream Processing Runtime,Data Capabilities,Edge,Reactive Dataflow & Event Handling,Data Capabilities,Device/Edge,Embedded-Friendly Portability,Supporting Capabilities,Cross-cutting,device ↔ edge,tinyml,111.0,A robust and efficient TinyML inference engine.,Rust,2024-12-12T14:42:00Z,21.0,108,2.0,False,False,10.0,1337.0,1.0,False,False
I2,R152,tokay-lite-sdk,maxlab-io/tokay-lite-sdk,https://github.com/maxlab-io/tokay-lite-sdk,NO,,"IIoT, Smart Environment",Infrastructure,Lightweight SDK for IoT/Edge AI,Supporting Capabilities,Device/Edge,On-Device AI Inference,Supporting Capabilities,Device,IoT Connectivity & Integration,Interface Capability,Edge/Fog,device ↔ fog,edge ai,49.0,Tokay Lite: Low Power Edge AI Camera SDK,C++,2024-09-29T11:43:21Z,6.0,117,2.0,False,False,7.0,829.0,1.0,False,False
I2,R153,azure_arc,microsoft/azure_arc,https://github.com/microsoft/azure_arc,YES,https://github.com/Azure/arc_jumpstart_docs,"Efficient AI, Orchestration",Infrastructure,Unified Hybrid Management,Supporting Capabilities,Fog/Cloud,GitOps & Policy-based Configuration at Scale,Supporting Capabilities,Fog/Cloud,Unified Security & Monitoring,Supporting Capabilities,Cross-cutting,Continuum,edge iot,755.0,"Automated Azure Arc, Edge, and Platform environments",HTML,2025-01-16T22:50:03Z,2035.0,13.894,86.0,False,False,558.0,576406.0,1.0,False,False
I1,R154,mindspore,mindspore-ai/mindspore,https://github.com/mindspore-ai/mindspore,YES,https://github.com/mindspore-ai/mindspore/tree/master/docs,Federated Learning,Infrastructure,End-to-End AI Lifecycle (Cloud–Edge–Device),Supporting Capabilities,Cross-cutting,Lightweight Edge Inference (MindSpore Lite),Supporting Capabilities,Device/Edge,Privacy-Preserving Federated Learning,Supporting Capabilities,Cross-cutting,Continuum,edge ai,4372.0,"MindSpore is a new open source deep learning training/inference framework that could be used for mobile, edge and cloud scenarios.",C++,2024-07-29T01:48:05Z,7097.0,83.896,93.0,False,False,718.0,869597.0,1.0,False,False
I1,R162,xsai,moeru-ai/xsai,https://github.com/moeru-ai/xsai,NO,,"Orchestration, Efficiente AI",Infrastructure,On-Device LLM Inference (Offline-First),Supporting Capabilities,Device/Edge,Decentralized & Privacy-Preserving AI,Supporting Capabilities,Cross-cutting,Unified Runtime for Multiple Models,Supporting Capabilities,Edge/Fog,device ↔ fog,edge-ai,34.0,"🤖💬 extra-small AI SDK for Browser, Node.js, Deno, Bun or Edge Runtime.",TypeScript,2025-01-19T06:18:19Z,208.0,246,4.0,False,False,4.0,554.0,1.0,False,False
I1,R163,montithings,MontiCore/montithings,https://github.com/MontiCore/montithings,YES,https://www.se-rwth.de/research/MontiThings/,Model-Driven Engineering (MDE),Meta-Architecture,Model-Driven IoT/Edge Application Development,Supporting Capabilities,Cross-cutting,Dynamic Deployment & Update at Edge,Supporting Capabilities,Edge/Fog,Asynchronous Cross-Device Communication,Interface Capability,Device/Edge,device ↔ fog,edge iot,14.0,An ecosystem for model-driven IoT applications,Java,2025-01-10T20:52:30Z,15.0,4.617,34.0,False,False,6.0,16788.0,1.0,False,False
I2,R166,nabto-embedded-sdk,nabto/nabto-embedded-sdk,manda baa gent,YES,https://docs.nabto.com/developer/platforms/common/intro.html,Smart Environment,Infrastructure,Secure P2P Communication for IoT Devices,Interface Capability,Device/Edge,NAT/Firewall Traversal & Connectivity Optimization,Interface Capability,Cross-cutting,Lightweight Embedded Integration,Supporting Capabilities,Device,device ↔ edge,edge-iot,17.0,"Nabto Edge Embedded SDK. Secure, direct connections to your IoT devices.",C,2024-12-02T13:10:24Z,195.0,2.861,5.0,False,False,4.0,5401.0,1.0,False,False
I2,R167,nanomq,nanomq/nanomq,https://github.com/nanomq/nanomq,YES,https://github.com/nanomq/nanomq/blob/master/docs/en_US/assets/architecture.png,"Data streaming processing, Smart Environment",Infrastructure,Lightweight Edge Messaging Broker,Interface Capability,Device/Edge,Protocol Translation & Interoperability Gateway,Interface Capability,Edge/Fog,High-Performance & Resource-Efficient Messaging,Interface Capability,Cross-cutting,device ↔ fog,edge-iot,1711.0,An ultra-lightweight and blazing-fast Messaging broker/bus for IoT edge & SDV,C,2025-01-14T14:58:23Z,539.0,3.598,31.0,False,False,203.0,18876.0,1.0,False,False
I1,R170,edgerunner,neuralize-ai/edgerunner,https://github.com/neuralize-ai/edgerunner,NO,,Efficient AI,Infrastructure,Universal On-Device AI Runtime Integration,Supporting Capabilities,Edge/Device,Device-Agnostic API Abstraction,Interface Capability,Edge/Fog,Platform-Specific NPU SDK Management,Supporting Capabilities,Cross-cutting,device ↔ fog,edge ai,65.0,Simplified AI runtime integration for mobile app development,C++,2024-11-29T13:52:56Z,355.0,355,1.0,False,False,4.0,34787.0,1.0,False,False
I1,R173,tflite-cv-example,NobuoTsukamoto/tflite-cv-example,https://github.com/NobuoTsukamoto/tflite-cv-example,NO,,Computer Vision,Infrastructure,On-Device Vision AI Inference,Supporting Capabilities,Device/Edge,Real-Time Image/Video Processing,Supporting Capabilities,Edge,Reference Toolkit for Edge AI Developers,Supporting Capabilities,Fog/Edge,device ↔ fog,edge tpu,120.0,"TensorFlow Lite, Coral Edge TPU samples (Python/C++, Raspberry Pi/Windows/Linux).",Python,2024-08-24T23:22:58Z,1.0,192,2.0,False,False,15.0,58920.0,1.0,False,False
I2,R182,ai-edge,opendatahub-io/ai-edge,https://github.com/opendatahub-io/ai-edge,YES,https://github.com/opendatahub-io/ai-edge/blob/main/docs/images/edge-architecture.png,"Industry 4.0, Smart Environment",Infrastructure,Edge Processing,Data Capabilities,Edge,Orchestration & Management,Supporting Capabilities,Fog/Cloud,Monitoring & Observability,Supporting Capabilities,Cross-cutting (device/Edge),edge ↔ fog,edge-ai,12.0,ODH integration with AI at the Edge usecases,Go,2024-11-11T22:52:26Z,280.0,490,13.0,False,False,19.0,16979.0,1.0,False,False
I2,R183,microshift,openshift/microshift,https://github.com/openshift/microshift,YES,https://github.com/openshift/microshift/blob/main/docs/contributor/design.md,Smart Environment,Infrastructure,Lightweight Kubernetes-Native Orchestration,Supporting Capabilities,Edge,Cloud-Edge Continuum Integration,Supporting Capabilities,Fog/Cloud,Secure Lifecycle & Policy Management,Supporting Capabilities,Cross-cutting,edge ↔ Cloud,edge iot,708.0,A small form factor OpenShift/Kubernetes optimized for edge computing,Go,2025-01-20T09:07:17Z,1961.0,5.895,84.0,False,False,203.0,107666.0,1.0,False,False
I2,R184,model_server,openvinotoolkit/model_server,https://github.com/openvinotoolkit/model_server,Partially,https://github.com/openvinotoolkit/model_server/tree/main/docs,Efficient AI,Infrastructure,Scalable AI Model Serving (gRPC/REST),Supporting Capabilities,Fog/Cloud/Edge,Hardware-Accelerated Inference,Supporting Capabilities,Cross-cutting (Device/Edge/Fog),Model Lifecycle Management,Supporting Capabilities,Fog/Cloud ,Continuum,edge ai,697.0,A scalable inference server for models optimized with OpenVINO™,C++,2025-01-19T23:16:54Z,484.0,2.689,42.0,False,False,213.0,54087.0,1.0,False,False
I1,R185,openvino_testdrive,openvinotoolkit/openvino_testdrive,https://github.com/openvinotoolkit/openvino_testdrive,NO,,"Chatbot, Computer Vision",System,Reference Pipelines for Edge AI Inference,Supporting Capabilities,Device/Edge,Hardware-Accelerated AI Execution,Supporting Capabilities,Cross-cutting,Developer Onboarding & Model Evaluation Toolkit,Supporting Capabilities,Fog/Edge,device ↔ fog,edge-ai,14.0,"With OpenVINO Test Drive, users can run large language models (LLMs) and models trained by Intel Geti on their devices, including AI PCs and Edge devices.",Dart,2025-01-17T23:02:56Z,368.0,369,6.0,False,False,3.0,23622.0,1.0,False,False
I2,R194,executorch,pytorch/executorch,https://github.com/pytorch/executorch,YES,https://github.com/pytorch/executorch/blob/main/docs/source/getting-started-architecture.md,"Computer vision, speech",Infrastructure,End-to-End On-Device AI Workflow,Supporting Capabilities,Edge,High Portability across Diverse Hardware,Supporting Capabilities,Edge/Fog,Developer Productivity & Toolchain Integration,Supporting Capabilities,Cross-cutting,edge ↔ fog,edge ai,2412.0,"On-device AI across mobile, embedded and edge for PyTorch",C++,2025-01-19T11:35:00Z,3856.0,5.271,100.0,False,False,420,150581.0,1.0,False,False
I2,R197,rhel-edge-automation-arch,redhat-cop/rhel-edge-automation-arch,https://github.com/redhat-cop/rhel-edge-automation-arch,Partially,https://github.com/redhat-cop/rhel-edge-automation-arch/tree/main?tab=readme-ov-file#architecture,IIoT,Infrastructure,Automated Edge Provisioning & Configuration,Supporting Capabilities,Edge/Fog,OTA Updates & Rollback Management,Supporting Capabilities,Edge/Fog,GitOps-Driven Orchestration & Compliance,Supporting Capabilities,Cross-cutting,edge ↔ fog,edge architecture,45,RHEL for Edge Automation Deployment Architecture,Jinja,2023-12-21T19:39:53Z,0.0,315,7.0,False,FALSE,33,,,FALSE,FALSE
I1,R198,redpanda-edge-agent,redpanda-data/redpanda-edge-agent,https://github.com/redpanda-data/redpanda-edge-agent,NO,,"Real Time Data Processing, IIoT",Infrastructure,Edge-to-Cloud Data Streaming,Data Capabilities,Edge/Fog/Cloud,Resilient Connectivity in Intermittent Networks,Interface Capability,Cross-cutting,Remote Agent Management & Integration,Supporting Capabilities,Fog/Cloud ,edge ↔ Cloud,edge iot,28.0,Lightweight internet of things agent that forwards events from the edge,Go,2024-03-25T20:11:17Z,2.0,59,3.0,False,False,9.0,7228.0,1.0,False,False
I1,R201,viseron,roflcoopter/viseron,https://github.com/roflcoopter/viseron,Partially,https://github.com/roflcoopter/viseron/tree/dev/docs/docs/documentation/configuration,Computer Vision,System,On-Device Video Analytics & AI Inference,Supporting Capabilities,Device/Edge,Hardware-Accelerated Vision Processing,Supporting Capabilities,Cross-cutting,Event-Driven Smart Home/IoT Integration,Interface Capability,Edge/Fog,device ↔ fog,edgetpu,1843.0,"Self-hosted, local only NVR and AI Computer Vision software.  With features such as object detection, motion detection, face recognition and more, it gives you the power to keep an eye on your home, office or any other place you want to monitor.",Python,2025-01-19T09:53:42Z,367.0,1.847,11.0,False,False,190.0,41822.0,1.0,False,False
I1,R203,salt,saltstack/salt,https://github.com/saltstack/salt,YES,https://github.com/saltstack/salt/blob/master/doc/topics/development/architecture.rst,Orchestration,Infrastructure,Scalable Remote Configuration & Automation,Supporting Capabilities,Fog/Cloud,Real-Time Orchestration & Parallel Execution,Supporting Capabilities,Fog/Edge,"Security, Compliance & Lifecycle Management",Supporting Capabilities,Cross-cutting,edge ↔ Cloud,edge iot,14287.0,Software to automate the management and configuration of any infrastructure or application at scale. Install Salt from the Salt package repositories here:,Python,2025-01-20T09:37:47Z,1280.0,121.363,100.0,False,False,5496.0,547395.0,1.0,False,False
I1,R204,fedn,scaleoutsystems/fedn,https://github.com/scaleoutsystems/fedn,YES,https://docs.scaleoutsystems.com/en/stable/architecture.html,Federated learning,Infrastructure,Federated Model Training & Aggregation,Supporting Capabilities,Edge/Fog/Cloud,Scalable Orchestration of Heterogeneous Nodes,Supporting Capabilities,Fog/Cloud,Privacy-Preserving Collaboration,Supporting Capabilities,Cross-cutting,edge ↔ Cloud,edge-ai,146.0,"FEDn: An enterprise-ready open source federated learning framework. This repository contains the Python framework, CLI and API.",Python,2025-01-16T09:16:35Z,245.0,1.931,25.0,False,False,36.0,371729.0,1.0,False,False
I1,R205,ModelAssistant,Seeed-Studio/ModelAssistant,https://github.com/Seeed-Studio/ModelAssistant,NO,,Efficient AI,Infrastructure,Simplified AI Model Deployment at Edge,Supporting Capabilities,Device/Edge,Multi-Framework & Hardware Interoperability,Supporting Capabilities,Cross-cutting,Model Lifecycle Management,Supporting Capabilities,Fog/Edge,device ↔ fog,tinyml,352.0,Seeed SenseCraft Model Assistant is an open-source project focused on embedded AI. 🔥🔥🔥,Python,2025-01-16T11:13:02Z,224.0,824,100.0,False,False,49.0,26993.0,1.0,False,False
I1,R207,piccolo,sensiml/piccolo,https://github.com/sensiml/piccolo,Partially,https://github.com/sensiml/piccolo/blob/main/docs/source/mqtt-specification/introduction.rst,"Efficient AI, AIoT, Real Time Data Processing",Infrastructure,Ultra-Lightweight TinyML Inference Runtime,Supporting Capabilities,Device,Sensor Data Pattern Recognition,Supporting Capabilities,Device/Edge,Low-Power Embedded AI Optimization,Supporting Capabilities,Cross-cutting,device ↔ edge,edge ai,53.0,SensiML's open-source AutoML solution for Edge AI model development,Python,2025-01-17T01:48:25Z,54.0,77,5.0,False,False,7.0,96464.0,1.0,False,False
I1,R210,simpleiot,simpleiot/simpleiot,https://github.com/simpleiot/simpleiot,YES,https://github.com/simpleiot/simpleiot/tree/master/docs/ref,Smart Environment,Infrastructure,Lightweight Edge IoT Platform,Supporting Capabilities,Device/Edge,Graph-Based Device & Data Modeling,Data Capabilities,Edge/Fog,Remote Device Management & Configuration,Supporting Capabilities,Fog/Cloud ,Continuum,edge-iot,178.0,Simple IoT cloud/edge application/framework,Go,2025-01-03T22:10:16Z,263.0,3.433,9.0,False,False,29.0,16600.0,1.0,False,False
I2,R212,MaixPy,sipeed/MaixPy,https://github.com/sipeed/MaixPy,NO,,Computer Vision,Infrastructure,On-Device AI Inference (TinyML),Supporting Capabilities,Device,Python-Based Embedded Runtime,Supporting Capabilities,Cross-cutting (Device/Edge),Peripheral & Sensor Integration for IoT,Interface Capability,Device/Edge,device ↔ edge,edge ai,225.0,Easily create AI projects with Python on edge device,Python,2025-01-17T10:44:06Z,408.0,443,13.0,False,False,47.0,63546.0,1.0,False,False
I1,R217,fogflow,smartfog/fogflow,https://github.com/smartfog/fogflow,YES,https://github.com/smartfog/fogflow/blob/development/docs/en/source/introduction.rst,"Industry 4.0, Smart Environment, Autonomous Systems",Infrastructure,Dynamic Service Orchestration,Supporting Capabilities,Fog/Edge ,Context-aware Service Discovery & Chaining,Interface Capability,Edge/Fog,Distributed Task Scheduling & Optimization,Supporting Capabilities,Fog/Cloud ,edge ↔ Cloud,edge-iot,126.0,FogFlow is a standard-based IoT fog computing framework that supports serverless computing and edge computing with advanced programming models,Go,2024-11-04T09:48:23Z,22.0,2.471,23.0,False,False,45.0,187714.0,1.0,False,False
I1,R223,edgeai-gst-apps,TexasInstruments/edgeai-gst-apps,https://github.com/TexasInstruments/edgeai-gst-apps,NO,,Computer Vision,Infrastructure,Hardware-Accelerated GStreamer Pipelines,Supporting Capabilities,Edge,End-to-End Streaming Edge Inference,Transducer Capabilities,Edge,Cross-Language & Configurable Runtime,Supporting Capabilities,Edge/Fog,edge ↔ fog,edgeai,26.0,Gstreamer based Edge AI reference application,C++,2024-12-12T12:20:44Z,43.0,173,9.0,False,False,27.0,488.0,1.0,False,False
I2,R225,thin-edge.io,thin-edge/thin-edge.io,https://github.com/thin-edge/thin-edge.io,YES,https://thin-edge.github.io/thin-edge.io/understand/faq/,IIoT,Infrastructure,Lightweight IoT Edge Gateway,Interface Capability,Device/Edge,Multi-Protocol IoT Interoperability,Interface Capability,Edge/Fog,Remote Device Management & OTA Updates,Supporting Capabilities,Fog/Cloud ,Continuum,edge-iot,228.0,The open edge framework for lightweight IoT devices,Rust,2025-01-17T22:04:34Z,1771.0,5.432,30.0,False,False,56.0,122193.0,1.0,False,False
I1,R227,flogo,TIBCOSoftware/flogo,https://github.com/TIBCOSoftware/flogo,NO,,"IIoT, Efficient AI, Real Time Data Processing",Infrastructure,Lightweight Event-Driven Integration,Interface Capability,Edge,Cross-Platform & Serverless Deployment,Supporting Capabilities,Edge/Fog/Cloud,Embedded AI/ML Inference in Flows,Supporting Capabilities,Edge,edge ↔ Cloud,edge iot,2442.0,"Project Flogo is an open source ecosystem of opinionated  event-driven capabilities to simplify building efficient & modern serverless functions, microservices & edge apps.",CSS,2024-04-24T18:42:04Z,1.0,432,40.0,False,False,288.0,34005.0,1.0,False,False
